DL% UL%  Dled  Uled  Xfers  Live Total     Current  Left    Speed

--  --      0     0    12    12  --:--:-- --:--:-- --:--:--     0      
  5 --  1418M     0    12    12   0:35:08  0:03:01  0:33:19 12.9M      
  5 --  1425M     0    12    12   0:36:11  0:03:02  0:34:18 12.5M      
  5 --  1431M     0    12    12   0:37:47  0:03:02  0:35:49 12.0M      
  5 --  1437M     0    12    12   0:37:20  0:03:03  0:35:22 12.2M      
  5 --  1444M     0    12    12   0:37:06  0:03:04  0:35:08 12.2M      
  5 --  1451M     0    12    12   0:36:38  0:03:04  0:34:42 12.4M      
  5 --  1457M     0    12    12   0:36:10  0:03:05  0:34:14 12.5M      
  5 --  1463M     0    12    12   0:36:55  0:03:05  0:34:56 12.3M      
  5 --  1469M     0    12    12   0:36:25  0:03:06  0:34:28 12.5M      
  5 --  1476M     0    12    12   0:36:14  0:03:06  0:34:17 12.5M      
  5 --  1482M     0    12    12   0:36:18  0:03:07  0:34:20 12.5M      
  5 --  1488M     0    12    12   0:35:59  0:03:07  0:34:01 12.6M      
  5 --  1495M     0    12    12   0:36:09  0:03:08  0:34:10 12.6M      
  5 --  1502M     0    12    12   0:36:06  0:03:08  0:34:07 12.6M      
  5 --  1509M     0    12    12   0:35:18  0:03:09  0:33:21 12.9M      
  5 --  1517M     0    12    12   0:34:43  0:03:09  0:32:47 13.1M      
  5 --  1525M     0    12    12   0:33:09  0:03:10  0:31:18 13.7M      
  5 --  1534M     0    12    12   0:32:05  0:03:10  0:30:17 14.2M      
  5 --  1541M     0    12    12   0:31:39  0:03:11  0:29:52 14.3M      
  5 --  1549M     0    12    12   0:31:01  0:03:11  0:29:16 14.6M      
  5 --  1556M     0    12    12   0:30:37  0:03:12  0:28:52 14.8M      
